path,count
/,2
/cm/a36a42ad-3a71-444f-9e8a-b19950129dc6/airgap.js,2
/_next/static/css/237135430da33788.css,2
/_next/static/css/4254aff0ca08811d.css,4
/_next/static/css/b891a27343876add.css,4
/_next/static/css/d0e993df9500c73a.css,4
/_next/static/chunks/webpack-44cb187426ec12f0.js,2
/_next/static/chunks/framework-c0f099bcff5df7bf.js,2
/_next/static/chunks/main-cc4c56cf37aef018.js,2
/_next/static/chunks/pages/_app-c3914a001c491cc5.js,2
/_next/static/chunks/7285-560a6ae65e69022d.js,2
/_next/static/chunks/9126-263da06da32b19fb.js,2
/_next/static/chunks/644-c79495eb1ba31ffb.js,2
/_next/static/chunks/7485-bc57ef37f750ddb8.js,2
/_next/static/chunks/2721-e886822bf1e98397.js,2
/_next/static/chunks/7645-17008d5165be867a.js,2
/_next/static/chunks/5784-5d51aa550f4b9dbd.js,2
/_next/static/chunks/6043-0facc7ff7093e9cd.js,2
/_next/static/chunks/2955-97d41e9431069289.js,2
/_next/static/chunks/815-5c0ebe24b4c18b2e.js,2
/_next/static/chunks/3776-893be39760dc4bfc.js,2
/_next/static/chunks/9942-bd34e32eec6f5c35.js,2
/_next/static/chunks/9146-ad128f4adbd21ccc.js,2
/_next/static/chunks/7542-4406b4ce707f86c9.js,2
/_next/static/chunks/9446-fda1a5e6159b49b4.js,2
/_next/static/chunks/1899-77239814b9fc79b1.js,2
/_next/static/chunks/4404-2589bc2a1f0cc8c6.js,2
/_next/static/chunks/pages/product-1a0d6ff39b6d927c.js,2
/_next/static/V4VMp-vexa26qCn0r-DSH/_buildManifest.js,2
/_next/static/V4VMp-vexa26qCn0r-DSH/_ssgManifest.js,2
/cm/a36a42ad-3a71-444f-9e8a-b19950129dc6/ui.js,2
/cm/a36a42ad-3a71-444f-9e8a-b19950129dc6/cm.css,2
"/cdn-cgi/image/format=auto,width=828,quality=100/front-static/pages/home/home-hero.png",2
"/cdn-cgi/image/format=auto,width=1920,quality=100/front-static/pages/home/sidekick-desktop-app.png",2
"/cdn-cgi/image/format=auto,width=256,quality=100/front-static/pages/home/sidekick-mobile-app.png",2
"/cdn-cgi/image/format=auto,width=1920,quality=100/front-static/pages/home/engineering-wiki-V2.png",2
"/cdn-cgi/image/format=auto,width=1920,quality=100/front-static/pages/home/meeting-notes.png",2
"/cdn-cgi/image/format=auto,width=1920,quality=100/front-static/pages/home/projects.png",2
"/cdn-cgi/image/format=auto,width=1920,quality=100/front-static/pages/home/building-blocks/kanban.png",2
"/cdn-cgi/image/format=auto,width=1920,quality=100/front-static/pages/home/building-blocks/table.png",2
"/cdn-cgi/image/format=auto,width=1920,quality=100/front-static/pages/home/building-blocks/timeline.png",2
"/cdn-cgi/image/format=auto,width=1920,quality=100/front-static/pages/home/building-blocks/calendar.png",2
"/cdn-cgi/image/format=auto,width=1920,quality=100/front-static/pages/home/building-blocks/gallery.png",2
"/cdn-cgi/image/format=auto,width=1920,quality=100/front-static/pages/home/building-blocks/list.png",2
/front-static/shared/icons/nav-caret.svg,2
/_next/static/media/Inter-Var.730e8169.woff2,6
/_next/static/media/LyonText-Regular-Web.d7bfb4be.woff2,2
/front-static/logo-ios.png,2
/v1/,2
/_next/static/chunks/9870.2b5d643606589ced.js,2
/_next/static/chunks/2375.8fec9554068c963c.js,2
/_vercel/insights/script.js,2
/_next/static/chunks/62cf2826.1bad84a0edfd0a1d.js,2
/_next/static/chunks/analytics-segment.a66b64e4c7cc1c76.js,2
/js/profitwell.js,2
/_next/static/chunks/9881.48bf4537f7a6d68a.js,2
/v1/initialize,6
/api/v3/getUserAnalyticsSettings,12
/gtag/js,6
/en_US/fbevents.js,4
/services/collector/raw,11
/api/v3/trackSegmentEvent,2
/pr/gpk/pk_6nwYfqCKEoPt2lTuU8Veswm2zArJ3Apq,2
/spaces/spoqsaf9291f/environments/master/entries,6
/api/v3/teV1,8
/v1/projects/g1mMn2qquRcv7exBIVDivoKl9cOrdxLA/settings,2
"/cdn-cgi/image/format=auto,width=1920,quality=100/front-static/shared/icons/team-size-enterprise.png",2
"/cdn-cgi/image/format=auto,width=1920,quality=100/front-static/shared/icons/team-size-small-business.png",2
"/cdn-cgi/image/format=auto,width=1920,quality=100/front-static/shared/icons/team-size-personal.png",2
"/cdn-cgi/image/format=auto,width=1920,quality=100/front-static/shared/icons/wikis-icon.png",2
"/cdn-cgi/image/format=auto,width=1920,quality=100/front-static/shared/icons/docs-icon.png",2
"/cdn-cgi/image/format=auto,width=1920,quality=100/front-static/shared/icons/projects-icon.png",2
